pitcher,player_name,pitch_type,game_year,woba_num,woba_denom,wOBAA,xwOBAA,BB,HBP,singles,doubles,triples,HR,K
543766,"Shaw, Bryan",FC,2023,20.3344,64,0.3177,0.3255,9,1,8,4,0,1,14
543859,"Tonkin, Michael",FF,2023,49.3011,165,0.2988,0.3335,13,0,21,4,1,7,38
543859,"Tonkin, Michael",FF,2024,35.2718,110,0.3207,0.3537,17,3,13,2,0,4,31
543859,"Tonkin, Michael",SL,2023,23.8422,88,0.2709,0.2623,4,2,14,1,0,3,22
543859,"Tonkin, Michael",SL,2024,14.4684,91,0.159,0.2191,3,0,12,2,0,0,28
544150,"Suárez, Albert",CH,2024,37.218,112,0.3323,0.3305,11,0,15,8,0,3,21
544150,"Suárez, Albert",CU,2024,17.7399,72,0.2464,0.2619,2,0,6,3,0,3,16
544150,"Suárez, Albert",FC,2024,27.7168,97,0.2857,0.29,5,0,14,6,0,2,17
544150,"Suárez, Albert",FF,2024,87.6505,249,0.352,0.3254,22,3,37,15,1,8,48
544727,"Familia, Jeurys",SI,2022,34.7451,66,0.5264,0.4263,7,1,14,6,0,4,5
547179,"Lorenzen, Michael",CH,2022,20.5298,82,0.2504,0.254,9,0,9,2,0,2,23
547179,"Lorenzen, Michael",CH,2023,28.8005,107,0.2692,0.2599,5,0,8,7,0,4,25
547179,"Lorenzen, Michael",CH,2024,11.4901,74,0.1553,0.2246,6,0,5,1,0,1,14
547179,"Lorenzen, Michael",CH,2025,23.7925,94,0.2531,0.259,10,1,10,3,0,2,26
547179,"Lorenzen, Michael",FF,2022,23.1676,63,0.3677,0.3734,15,0,11,2,0,1,11
547179,"Lorenzen, Michael",FF,2023,41.0307,135,0.3039,0.3502,18,0,17,5,0,4,25
547179,"Lorenzen, Michael",FF,2024,29.5657,97,0.3048,0.3845,16,1,10,1,0,4,21
547179,"Lorenzen, Michael",FF,2025,30.8949,76,0.4065,0.4174,5,0,10,4,1,5,17
547179,"Lorenzen, Michael",SI,2022,27.3565,89,0.3074,0.2964,7,3,13,4,0,2,8
547179,"Lorenzen, Michael",SI,2023,20.8276,70,0.2975,0.2759,2,1,18,3,0,0,4
547179,"Lorenzen, Michael",SI,2024,28.0058,95,0.2948,0.3389,8,2,17,4,0,1,15
547179,"Lorenzen, Michael",SI,2025,39.6148,97,0.4084,0.3673,6,2,14,3,1,7,21
547179,"Lorenzen, Michael",SL,2023,28.6021,106,0.2698,0.359,10,0,18,4,0,1,14
547179,"Lorenzen, Michael",SL,2025,25.5964,62,0.4128,0.3709,3,0,8,4,1,4,12
547184,"Kelly, Michael",ST,2024,18.6924,71,0.2633,0.3086,5,1,13,0,1,1,9
547184,"Kelly, Michael",ST,2025,19.6783,67,0.2937,0.3214,4,0,10,3,0,2,16
547973,"Chapman, Aroldis",FF,2023,24.0372,64,0.3756,0.398,16,0,10,3,0,1,12
547973,"Chapman, Aroldis",SI,2024,15.5542,71,0.2191,0.1543,2,0,8,2,0,2,39
548384,"Raley, Brooks",ST,2023,13.0886,80,0.1636,0.181,3,1,8,3,0,0,37
548389,"Stripling, Ross",CH,2022,32.5878,145,0.2247,0.2252,2,0,16,4,0,5,46
548389,"Stripling, Ross",CH,2023,35.3574,96,0.3683,0.3367,0,0,20,7,1,3,20
548389,"Stripling, Ross",FF,2022,39.8099,133,0.2993,0.3591,10,1,16,9,0,3,30
548389,"Stripling, Ross",FF,2023,30.91,83,0.3724,0.3632,10,0,12,4,0,4,23
548389,"Stripling, Ross",FF,2024,26.099,81,0.3222,0.3048,8,0,10,6,0,2,14
548389,"Stripling, Ross",SL,2022,20.0102,98,0.2042,0.2477,3,0,17,3,0,0,15
548389,"Stripling, Ross",SL,2023,32.9456,96,0.3432,0.3622,3,0,20,0,0,6,11
552640,"Kittredge, Andrew",SI,2024,22.8718,72,0.3177,0.3624,6,0,14,2,0,2,5
552640,"Kittredge, Andrew",SL,2024,33.8587,104,0.3256,0.3014,5,0,8,5,0,7,33
552640,"Kittredge, Andrew",SL,2025,22.5202,100,0.2252,0.2036,3,0,8,4,2,2,44
554340,"García, Yimi",FF,2022,12.3921,78,0.1589,0.2073,3,1,4,3,0,1,26
554340,"García, Yimi",FF,2023,25.0085,62,0.4034,0.3141,5,0,10,3,0,4,25
554430,"Wheeler, Zack",CU,2023,18.2212,71,0.2566,0.2697,3,0,10,6,0,0,19
554430,"Wheeler, Zack",CU,2024,17.8822,67,0.2669,0.2418,4,0,4,4,1,2,28
554430,"Wheeler, Zack",FC,2022,32.1323,121,0.2656,0.2674,4,1,16,6,0,3,29
554430,"Wheeler, Zack",FC,2023,30.9666,92,0.3366,0.3419,3,2,17,7,1,1,15
554430,"Wheeler, Zack",FF,2022,53.5601,194,0.2761,0.3039,17,0,21,4,3,6,57
554430,"Wheeler, Zack",FF,2023,66.011,243,0.2717,0.2576,11,0,31,11,1,7,81
554430,"Wheeler, Zack",FF,2024,71.0329,231,0.3075,0.2915,23,2,25,7,2,9,67
554430,"Wheeler, Zack",FF,2025,52.2181,181,0.2885,0.2693,15,1,20,7,1,6,60
554430,"Wheeler, Zack",SI,2022,25.8312,90,0.287,0.2748,2,4,20,4,0,0,13
554430,"Wheeler, Zack",SI,2023,33.5425,105,0.3195,0.3049,6,4,27,2,0,1,18
554430,"Wheeler, Zack",SI,2024,39.811,163,0.2442,0.2549,5,5,26,2,1,3,35
554430,"Wheeler, Zack",SI,2025,30.6979,93,0.3301,0.2727,4,1,13,2,1,5,23
554430,"Wheeler, Zack",ST,2023,16.2705,69,0.2358,0.266,1,1,9,2,0,2,23
554430,"Wheeler, Zack",ST,2024,16.5361,83,0.1992,0.1779,1,0,5,5,0,2,30
554430,"Wheeler, Zack",ST,2025,16.3953,72,0.2277,0.2525,1,2,8,4,0,1,26
554431,"Matzek, Tyler",FF,2022,30.051,114,0.2636,0.315,21,0,7,5,0,2,16
570257,"Rodríguez, Joely",CH,2022,15.4318,76,0.2031,0.2508,6,0,8,2,0,1,24
